bathrooms,bedrooms,brokerId,city,comingSoonOnMarketDate,country,currency,datePriceChanged,dateSold,daysOnZillow,desktopWebHdpImageLink,group_type,grouping_name,hiResImageLink,homeStatus,homeStatusForHDP,homeType,imageLink,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isRentalWithBasePrice,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,mediumImageLink,newConstructionType,openHouse,open_house_info,photoCount,price,priceChange,priceForHDP,priceReduction,priceSuffix,providerListingID,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,tvCollectionImageLink,tvHighResImageLink,tvImageLink,unit,videoCount,watchImageLink,zestimate,zipcode,zpid
3.0,3.0,15893,Charlotte,,USA,USD,,1083222000000,0,https://photos.zillowstatic.com/p_h/IS3f44qhtcqn8g1000000000.jpg,,,https://photos.zillowstatic.com/p_f/IS3f44qhtcqn8g1000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/IS3f44qhtcqn8g1000000000.jpg,False,True,False,False,,False,False,35.249127,{'is_FSBA': True},1639.0,-80.641428,,0.25,https://photos.zillowstatic.com/p_c/IS3f44qhtcqn8g1000000000.jpg,,,,22,246000.0,,246000.0,,,,1550,False,NC,11105 Renda Ct,193400.0,1599441240000,https://photos.zillowstatic.com/p_l/IS3f44qhtcqn8g1000000000.jpg,https://photos.zillowstatic.com/p_n/IS3f44qhtcqn8g1000000000.jpg,https://photos.zillowstatic.com/p_m/IS3f44qhtcqn8g1000000000.jpg,,,https://photos.zillowstatic.com/p_j/IS3f44qhtcqn8g1000000000.jpg,247392,28215,6216979
1.0,3.0,15893,Charlotte,,USA,USD,,1565161200000,0,https://photos.zillowstatic.com/p_h/ISb91oljc13npp0000000000.jpg,,,https://photos.zillowstatic.com/p_f/ISb91oljc13npp0000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISb91oljc13npp0000000000.jpg,False,True,False,False,,False,False,35.207721,{'is_FSBA': True},1416.0,-80.915507,,0.5599862258953168,https://photos.zillowstatic.com/p_c/ISb91oljc13npp0000000000.jpg,,,,3,222000.0,,222000.0,,,,1545,False,NC,3141 West Blvd,172100.0,1599437640000,https://photos.zillowstatic.com/p_l/ISb91oljc13npp0000000000.jpg,https://photos.zillowstatic.com/p_n/ISb91oljc13npp0000000000.jpg,https://photos.zillowstatic.com/p_m/ISb91oljc13npp0000000000.jpg,,,https://photos.zillowstatic.com/p_j/ISb91oljc13npp0000000000.jpg,222002,28208,6238284
1.0,0.0,15893,Charlotte,,USA,USD,,422866800000,0,https://photos.zillowstatic.com/p_h/ISfk8owbh6okl51000000000.jpg,,,https://photos.zillowstatic.com/p_f/ISfk8owbh6okl51000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISfk8owbh6okl51000000000.jpg,False,True,False,False,,False,False,35.2628,{'is_FSBA': True},1700.0,-80.743554,,0.25,https://photos.zillowstatic.com/p_c/ISfk8owbh6okl51000000000.jpg,,,,27,185000.0,,185000.0,,,,1500,False,NC,7017 Covecreek Dr,149900.0,1599433140000,https://photos.zillowstatic.com/p_l/ISfk8owbh6okl51000000000.jpg,https://photos.zillowstatic.com/p_n/ISfk8owbh6okl51000000000.jpg,https://photos.zillowstatic.com/p_m/ISfk8owbh6okl51000000000.jpg,,,https://photos.zillowstatic.com/p_j/ISfk8owbh6okl51000000000.jpg,185071,28215,6197393
3.0,4.0,15893,Charlotte,,USA,USD,,1561532400000,0,https://photos.zillowstatic.com/p_h/ISjj61ip5wky0g1000000000.jpg,,,https://photos.zillowstatic.com/p_f/ISjj61ip5wky0g1000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISjj61ip5wky0g1000000000.jpg,False,True,False,False,,False,False,35.282792,{'is_FSBA': True},1978.0,-80.817896,,0.5,https://photos.zillowstatic.com/p_c/ISjj61ip5wky0g1000000000.jpg,,,,45,274900.0,,274900.0,,,,1500,False,NC,3300 Cedarhurst Dr,147700.0,1599431040000,https://photos.zillowstatic.com/p_l/ISjj61ip5wky0g1000000000.jpg,https://photos.zillowstatic.com/p_n/ISjj61ip5wky0g1000000000.jpg,https://photos.zillowstatic.com/p_m/ISjj61ip5wky0g1000000000.jpg,,,https://photos.zillowstatic.com/p_j/ISjj61ip5wky0g1000000000.jpg,141542,28269,6160355
1.0,3.0,15893,Charlotte,,USA,USD,,871887600000,0,https://photos.zillowstatic.com/p_h/IS3ni4yxwx2hkp1000000000.jpg,,,https://photos.zillowstatic.com/p_f/IS3ni4yxwx2hkp1000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/IS3ni4yxwx2hkp1000000000.jpg,False,True,False,False,,False,False,35.232044,{'is_FSBA': True},1022.0,-80.820928,,8276.0,https://photos.zillowstatic.com/p_c/IS3ni4yxwx2hkp1000000000.jpg,,,,15,350000.0,,350000.0,,,,1500,False,NC,731 E 17th St,217400.0,1599428640000,https://photos.zillowstatic.com/p_l/IS3ni4yxwx2hkp1000000000.jpg,https://photos.zillowstatic.com/p_n/IS3ni4yxwx2hkp1000000000.jpg,https://photos.zillowstatic.com/p_m/IS3ni4yxwx2hkp1000000000.jpg,,,https://photos.zillowstatic.com/p_j/IS3ni4yxwx2hkp1000000000.jpg,350040,28205,6187028
2.0,3.0,15050,Matthews,,USA,USD,,1482220800000,0,https://photos.zillowstatic.com/p_h/IS3zbnlz8pkax31000000000.jpg,,,https://photos.zillowstatic.com/p_f/IS3zbnlz8pkax31000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/IS3zbnlz8pkax31000000000.jpg,False,True,False,False,,False,False,35.164557,{'is_FSBA': True},1502.0,-80.726004,,0.25,https://photos.zillowstatic.com/p_c/IS3zbnlz8pkax31000000000.jpg,,,,1,230000.0,,230000.0,,,,1459,False,NC,9311 Clifton Meadow Dr,174600.0,1599426300000,https://photos.zillowstatic.com/p_l/IS3zbnlz8pkax31000000000.jpg,https://photos.zillowstatic.com/p_n/IS3zbnlz8pkax31000000000.jpg,https://photos.zillowstatic.com/p_m/IS3zbnlz8pkax31000000000.jpg,,,https://photos.zillowstatic.com/p_j/IS3zbnlz8pkax31000000000.jpg,230026,28105,6278828
1.0,2.0,15893,Charlotte,,USA,USD,,1464678000000,0,https://photos.zillowstatic.com/p_h/ISz31v2lzw88kw0000000000.jpg,,,https://photos.zillowstatic.com/p_f/ISz31v2lzw88kw0000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISz31v2lzw88kw0000000000.jpg,False,True,False,False,,False,False,35.22053,{'is_FSBA': True},1037.0,-80.785003,,8712.0,https://photos.zillowstatic.com/p_c/ISz31v2lzw88kw0000000000.jpg,,,,37,285000.0,,285000.0,,,,1450,False,NC,3426 Draper Ave,233400.0,1599423240000,https://photos.zillowstatic.com/p_l/ISz31v2lzw88kw0000000000.jpg,https://photos.zillowstatic.com/p_n/ISz31v2lzw88kw0000000000.jpg,https://photos.zillowstatic.com/p_m/ISz31v2lzw88kw0000000000.jpg,,,https://photos.zillowstatic.com/p_j/ISz31v2lzw88kw0000000000.jpg,285103,28205,6196271
3.0,3.0,15050,Charlotte,,USA,USD,,1495609200000,0,https://photos.zillowstatic.com/p_h/ISne1tl334bi4o1000000000.jpg,,,https://photos.zillowstatic.com/p_f/ISne1tl334bi4o1000000000.jpg,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/p_g/ISne1tl334bi4o1000000000.jpg,False,True,False,False,,False,False,35.165804,{'is_FSBA': True},1890.0,-80.984225,,3092.0,https://photos.zillowstatic.com/p_c/ISne1tl334bi4o1000000000.jpg,,,,32,268000.0,,268000.0,,,,1695,False,NC,5705 Mossdale Ln,227100.0,1599420600000,https://photos.zillowstatic.com/p_l/ISne1tl334bi4o1000000000.jpg,https://photos.zillowstatic.com/p_n/ISne1tl334bi4o1000000000.jpg,https://photos.zillowstatic.com/p_m/ISne1tl334bi4o1000000000.jpg,,,https://photos.zillowstatic.com/p_j/ISne1tl334bi4o1000000000.jpg,256675,28278,108265646
2.0,3.0,15893,Charlotte,,USA,USD,,,0,https://photos.zillowstatic.com/p_h/ISnmn3bu0jhjtr1000000000.jpg,,,https://photos.zillowstatic.com/p_f/ISnmn3bu0jhjtr1000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISnmn3bu0jhjtr1000000000.jpg,False,True,False,False,,False,False,35.266038,{'is_FSBA': True},1746.0,-80.950178,,0.4,https://photos.zillowstatic.com/p_c/ISnmn3bu0jhjtr1000000000.jpg,,,,14,219900.0,,219900.0,,,,1445,False,NC,7000 Pawtuckett Rd,159500.0,1599411000000,https://photos.zillowstatic.com/p_l/ISnmn3bu0jhjtr1000000000.jpg,https://photos.zillowstatic.com/p_n/ISnmn3bu0jhjtr1000000000.jpg,https://photos.zillowstatic.com/p_m/ISnmn3bu0jhjtr1000000000.jpg,,,https://photos.zillowstatic.com/p_j/ISnmn3bu0jhjtr1000000000.jpg,202279,28214,6170737
2.0,3.0,15893,Charlotte,,USA,USD,,,0,https://photos.zillowstatic.com/p_h/ISfciy0vxaqv300000000000.jpg,,,https://photos.zillowstatic.com/p_f/ISfciy0vxaqv300000000000.jpg,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/p_g/ISfciy0vxaqv300000000000.jpg,False,True,False,False,,False,False,35.256194,{'is_FSBA': True},1248.0,-80.903608,,0.4,https://photos.zillowstatic.com/p_c/ISfciy0vxaqv300000000000.jpg,,,,14,199900.0,,199900.0,,,,1245,False,NC,4115 Westgate Ln,116900.0,1599407400000,https://photos.zillowstatic.com/p_l/ISfciy0vxaqv300000000000.jpg,https://photos.zillowstatic.com/p_n/ISfciy0vxaqv300000000000.jpg,https://photos.zillowstatic.com/p_m/ISfciy0vxaqv300000000000.jpg,,,https://photos.zillowstatic.com/p_j/ISfciy0vxaqv300000000000.jpg,176939,28208,6176344
